state,state_AB,year,state_year,treat,ban_policy,ban_year,total_suicide,gender,median_income,crime_rate,diversity,median_age,pol_aff,education_rate
Alabama,AL,2005,AL2005,0,0,0,11.700,,,,,,,
Alaska,AK,2005,AK2005,0,0,0,19.600,,,,,,,
Arizona,AZ,2005,AZ2005,0,0,0,16.200,,,,,,,
Arkansas,AR,2005,AR2005,0,0,0,14.400,,,,,,,
California,CA,2005,CA2005,1,0,2013,8.900,,,,,,,
Colorado,CO,2005,CO2005,1,0,2019,17.200,,,,,,,
Connecticut,CT,2005,CT2005,1,0,2017,8.400,,,,,,,
Delaware,DE,2005,DE2005,1,0,2018,9.800,,,,,,,
Florida,FL,2005,FL2005,0,0,0,13.100,,,,,,,
Georgia,GA,2005,GA2005,0,0,0,10.400,,,,,,,
Hawaii,HI,2005,HI2005,1,0,2018,8.300,,,,,,,
Idaho,ID,2005,ID2005,0,0,0,16.000,,,,,,,
Illinois,IL,2005,IL2005,1,0,2016,8.600,,,,,,,
Indiana,IN,2005,IN2005,0,0,0,11.900,,,,,,,
Iowa,IA,2005,IA2005,0,0,0,11.200,,,,,,,
Kansas,KS,2005,KS2005,0,0,0,13.100,,,,,,,
Kentucky,KY,2005,KY2005,0,0,0,13.500,,,,,,,
Louisiana,LA,2005,LA2005,0,0,0,11.000,,,,,,,
Maine,ME,2005,ME2005,1,0,2019,13.300,,,,,,,
Maryland,MD,2005,MD2005,1,0,2018,8.400,,,,,,,
Massachusetts,MA,2005,MA2005,1,0,2019,7.500,,,,,,,
Michigan,MI,2005,MI2005,0,0,0,11.000,,,,,,,
Mississippi,MS,2005,MS2005,0,0,0,12.500,,,,,,,
Missouri,MO,2005,MO2005,0,0,0,12.500,,,,,,,
Montana,MT,2005,MT2005,0,0,0,21.900,,,,,,,
Nebraska,NE,2005,NE2005,0,0,0,10.600,,,,,,,
Nevada,NV,2005,NV2005,1,0,2018,19.700,,,,,,,
New Hampshire,NH,2005,NH2005,1,0,2019,12.500,,,,,,,
New Jersey,NJ,2005,NJ2005,1,0,2013,6.200,,,,,,,
New Mexico,NM,2005,NM2005,1,0,2017,17.600,,,,,,,
New York,NY,2005,NY2005,1,0,2019,6.200,,,,,,,
North Carolina,NC,2005,NC2005,0,0,0,11.600,,,,,,,
Ohio,OH,2005,OH2005,0,0,0,11.700,,,,,,,
Oklahoma,OK,2005,OK2005,0,0,0,14.500,,,,,,,
Oregon,OR,2005,OR2005,1,0,2015,15.500,,,,,,,
Pennsylvania,PA,2005,PA2005,0,0,0,11.500,,,,,,,
Rhode Island,RI,2005,RI2005,1,0,2017,6.600,,,,,,,
South Carolina,SC,2005,SC2005,0,0,0,11.900,,,,,,,
South Dakota,SD,2005,SD2005,0,0,0,15.600,,,,,,,
Tennessee,TN,2005,TN2005,0,0,0,14.300,,,,,,,
Texas,TX,2005,TX2005,0,0,0,10.600,,,,,,,
Vermont,VT,2005,VT2005,1,0,2016,12.400,,,,,,,
Washington,WA,2005,WA2005,1,0,2018,13.100,,,,,,,
West Virginia,WV,2005,WV2005,0,0,0,14.000,,,,,,,
Wyoming,WY,2005,WY2005,0,0,0,17.500,,,,,,,
Alabama,AL,2006,AL2006,0,0,0,12.500,,,,,,,
Alaska,AK,2006,AK2006,0,0,0,20.000,,,,,,,
Arizona,AZ,2006,AZ2006,0,0,0,16.200,,,,,,,
Arkansas,AR,2006,AR2006,0,0,0,13.100,,,,,,,
California,CA,2006,CA2006,1,0,2013,9.200,,,,,,,
Colorado,CO,2006,CO2006,1,0,2019,15.500,,,,,,,
Connecticut,CT,2006,CT2006,1,0,2017,8.300,,,,,,,
Delaware,DE,2006,DE2006,1,0,2018,10.500,,,,,,,
Florida,FL,2006,FL2006,0,0,0,13.400,,,,,,,
Georgia,GA,2006,GA2006,0,0,0,10.100,,,,,,,
Hawaii,HI,2006,HI2006,1,0,2018,9.200,,,,,,,
Idaho,ID,2006,ID2006,0,0,0,15.100,,,,,,,
Illinois,IL,2006,IL2006,1,0,2016,8.000,,,,,,,
Indiana,IN,2006,IN2006,0,0,0,13.000,,,,,,,
Iowa,IA,2006,IA2006,0,0,0,11.200,,,,,,,
Kansas,KS,2006,KS2006,0,0,0,13.700,,,,,,,
Kentucky,KY,2006,KY2006,0,0,0,14.700,,,,,,,
Louisiana,LA,2006,LA2006,0,0,0,11.400,,,,,,,
Maine,ME,2006,ME2006,1,0,2019,11.900,,,,,,,
Maryland,MD,2006,MD2006,1,0,2018,8.800,,,,,,,
Massachusetts,MA,2006,MA2006,1,0,2019,7.000,,,,,,,
Michigan,MI,2006,MI2006,0,0,0,11.300,,,,,,,
Mississippi,MS,2006,MS2006,0,0,0,11.200,,,,,,,
Missouri,MO,2006,MO2006,0,0,0,13.600,,,,,,,
Montana,MT,2006,MT2006,0,0,0,19.800,,,,,,,
Nebraska,NE,2006,NE2006,0,0,0,11.400,,,,,,,
Nevada,NV,2006,NV2006,1,0,2018,19.200,,,,,,,
New Hampshire,NH,2006,NH2006,1,0,2019,11.500,,,,,,,
New Jersey,NJ,2006,NJ2006,1,0,2013,6.700,,,,,,,
New Mexico,NM,2006,NM2006,1,0,2017,17.900,,,,,,,
New York,NY,2006,NY2006,1,0,2019,6.900,,,,,,,
North Carolina,NC,2006,NC2006,0,0,0,12.300,,,,,,,
Ohio,OH,2006,OH2006,0,0,0,11.500,,,,,,,
Oklahoma,OK,2006,OK2006,0,0,0,14.900,,,,,,,
