STATE,STATE_AB,YEAR,STATE_YEAR,Ban Year,Column1,TOTAL_SUICIDE,FEMALE_SUICIDE,MALE_SUICIDE,GENDER,MEDIAN_INCOME,CRIME_RATE,BAN_POLICY,DIVERSITY,MEDIAN_AGE,POL_AFF,EDUCATION_RATE
Alabama,AL,2012,AL2012,0,0,15,5.6,25.1,0.48,53970,449.9,0,0.33,38.2,1,0.84
Alabama,AL,2013,AL2013,0,0,14.9,6.1,24.2,0.481,58050,430.8,0,0.334,38.3,1,0.845
Alabama,AL,2014,AL2014,0,0,14.7,5.8,24.2,0.482,51140,427.4,0,0.334,38.6,1,0.85
Alabama,AL,2015,AL2015,0,0,15.4,6.4,25.1,0.481,53880,472.4,0,0.338,38.7,1,0.849
Alabama,AL,2016,AL2016,0,0,16.2,6.5,26.5,0.481,56660,532.3,0,0.34,39,1,0.851
Alabama,AL,2017,AL2017,0,0,17.1,6,29,0.482,59980,524.2,0,0.342,38.9,1,0.865
Alabama,AL,2018,AL2018,0,0,16.8,7.2,27.2,0.481,57720,519.6,0,0.344,39.3,1,0.866
Alabama,AL,2019,AL2019,0,0,16.4,6.9,26.6,0.481,64010,510.8,0,0.346,39.4,1,0.871
Alabama,AL,2020,AL2020,0,0,16.1,6.5,26.4,0.481,61650,453.5579572,0,0.351,39.2,1,0.87
Alabama,AL,2021,AL2021,0,0,15.8,,,,,,0,,,,
Alaska,AK,2012,AK2012,0,0,23,8,36.7,0.516,79030,603.2,0,0.368,33.8,1,0.92
Alaska,AK,2013,AK2013,0,0,23.1,9.7,35.3,0.513,88910,640.4,0,0.375,33.1,1,0.916
Alaska,AK,2014,AK2014,0,0,22.7,8.3,35.6,0.517,81800,635.8,0,0.375,33.3,0,0.93
Alaska,AK,2015,AK2015,0,0,27.2,13.5,39.6,0.514,90920,730.2,0,0.385,33.3,0,0.926
Alaska,AK,2016,AK2016,0,0,26,13,37.9,0.517,90860,804.2,0,0.386,33.5,0,0.931
Alaska,AK,2017,AK2017,0,0,27,11.6,41.1,0.513,91960,829,0,0.39,34.5,0,0.917
Alaska,AK,2018,AK2018,0,0,25,11.3,37.4,0.503,79450,885,0,0.399,34.9,0,0.933
Alaska,AK,2019,AK2019,0,0,28.7,12,44,0.507,89290,867.1,0,0.4,35,1,0.936
